Question,Answer
What is Artificial Intelligence?,Artificial Intelligence is the simulation of human intelligence by machines.
What is Machine Learning?,Machine Learning is a subset of Artificial Intelligence that enables computers to learn from data.
What is Python?,Python is a high-level programming language used for AI web development and data science.
Who developed Python?,Python was developed by Guido van Rossum.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is Streamlit?,Streamlit is a Python framework for building web applications.
What is NLP?,Natural Language Processing enables computers to understand human language.
What is Data Science?,Data Science is the process of extracting insights from data.
What is Deep Learning?,Deep Learning is a branch of Machine Learning based on neural networks.
What is CodeAlpha?,CodeAlpha provides internship opportunities and project-based learning.
what is claude?,claude is an AI assistant developed by Anthropic.
